,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO
900,136,MT,32369,D,30,0,,3.12341,2.40384,0.16659,AMARELA,1076,,0
944,137,MT,117877,B,12,0,,2.65709,1.6446,0.20086,AMARELA,1076,,0
943,138,MT,82581,A,10,0,,1.90672,2.301,0.10655,AMARELA,1076,,0
942,139,MT,31516,A,20,0,,1.50662,1.77699,0.15235,AMARELA,1076,,0
941,140,MT,68369,A,4,0,,2.57245,1.58603,0.10176,AMARELA,1076,,0
940,141,MT,10322,C,6,0,,1.53551,0.94716,0.1917,AMARELA,1076,,0
939,142,MT,63204,E,9,0,,3.78296,1.88956,0.14444,AMARELA,1076,,0
938,143,MT,68123,B,26,0,,2.18973,1.32978,0.04601,AMARELA,1076,,0
937,144,MT,60441,E,1,0,,1.42701,-0.02398,0.11013,AMARELA,1076,,0
936,145,MT,117886,D,9,0,,0.4443,6.27505,0.1251,AMARELA,1076,,0
935,146,MT,95676,A,26,0,,1.32325,0.64802,0.18728,AMARELA,1076,,0
934,147,MT,19807,E,12,0,,4.1583,2.56697,0.06542,AMARELA,1076,,0
933,148,MT,86466,C,14,0,,2.96283,2.44795,0.21497,AMARELA,1076,,0
932,149,MT,43182,C,3,0,,2.19381,1.56693,0.1302,AMARELA,1076,,0
931,150,MT,47309,B,2,0,,0.92146,2.16924,0.15718,AMARELA,1076,,0
930,151,MT,97590,E,25,0,,2.33252,2.40899,0.14217,AMARELA,1076,,0
929,152,MT,86840,C,28,0,,0.24441,4.65334,0.03228,AMARELA,1076,,0
928,153,MT,30493,D,27,0,,0.80375,2.27556,0.12859,AMARELA,1076,,0
927,154,MT,117651,E,18,0,,0.51115,2.58401,0.0088,AMARELA,1076,,0
926,155,MT,95509,E,21,0,,2.27997,2.41531,0.11329,AMARELA,1076,,0
925,156,MT,117820,C,17,0,,0.48694,4.48651,0.14739,AMARELA,1076,,0
924,157,MT,86499,B,5,0,,2.93676,3.33565,0.21207,AMARELA,1076,,0
923,158,MT,5961,D,7,0,,0.9032,2.45135,0.1617,AMARELA,1076,,0
922,159,MT,75829,C,1,0,,1.18017,1.92189,0.16856,AMARELA,1076,,0
921,160,MT,117973,A,11,0,,1.87291,2.86025,0.18347,AMARELA,1076,,0
920,161,MT,10500,B,3,0,,1.57712,3.30111,0.16855,AMARELA,1076,,0
919,162,MT,89637,E,28,1,Convergência,,,,AMARELA,1076,,0
918,163,MT,63646,C,7,0,,0.79395,2.40685,0.1129,AMARELA,1076,,0
917,164,MT,85588,B,24,0,,2.30031,0.46698,0.25799,AMARELA,1076,,0
916,165,MT,10409,E,6,0,,1.66982,2.03629,0.24595,AMARELA,1076,,0
915,166,MT,96315,A,29,0,,1.69166,0.87454,0.20606,AMARELA,1076,,0
914,167,MT,117742,B,13,0,,0.65574,2.58862,0.1651,AMARELA,1076,,0
913,168,MT,30327,D,25,0,,2.81078,0.63977,0.16335,AMARELA,1076,,0
912,169,MT,14797,D,8,0,,2.93886,2.57768,0.12028,AMARELA,1076,,0
911,170,MT,30053,C,17,0,,1.73381,2.02109,0.14967,AMARELA,1076,,0
910,171,MT,85228,C,18,0,,2.1343,3.73781,0.24053,AMARELA,1076,,0
909,172,MT,61248,D,15,0,,2.61757,2.2515,0.1851,AMARELA,1076,,0
908,173,MT,111738,B,27,0,,2.64614,2.2135,0.24887,AMARELA,1076,,0
907,174,MT,85343,D,22,0,,2.13479,3.22198,0.12748,AMARELA,1076,,0
906,175,MT,39443,X,19,1,anulado pedagogicamente,,,,AMARELA,1076,,0
905,176,MT,53461,C,23,0,,2.67778,2.3731,0.20523,AMARELA,1076,,0
904,177,MT,85013,B,2,0,,2.17147,2.5423,0.1841,AMARELA,1076,,0
903,178,MT,8364,A,6,0,,0.89111,2.43206,0.25086,AMARELA,1076,,0
902,179,MT,28683,A,11,0,,3.13149,2.33341,0.21903,AMARELA,1076,,0
901,180,MT,111516,C,24,0,,1.82335,1.38103,0.13879,AMARELA,1076,,0
